title;address;price;rooms;area;floor;max_floor;rent;energy_certificate;form_of_the_property;finishing_condition;balcony_garden_terrace;parking_place;heating;market;advertisement_type;year_of_construction;type_of_development;windows;is_elevator
Okolice ul. Byczyńskiej Parking/Balkon/LUX-2019r.;ul. Byczyńska, Swojczyce, Psie Pole, Wrocław, dolnośląskie;720000;2;45.00;2;2;460;;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2019;apartamentowiec;;False
Okolice ul. Góreckiej Rozkład/Park;Leśnica, Fabryczna, Wrocław, dolnośląskie;639000;2;53.00;1;4;670;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2009;apartamentowiec;;True
ul. Młodnickiego/balkon/miejsce parkingowe;ul. Artura Młodnickiego, Ołbin, Śródmieście, Wrocław, dolnośląskie;1250000;5;92.39;3;3;2;W trakcie realizacji / Zwolnione;spółdzielcze wł. prawo do lokalu;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2000;blok;drewniane;False
Sprzedam 3 pokojowe mieszkanie;Muchobór Mały, Fabryczna, Wrocław, dolnośląskie;565000;3;58.20;1;10;1;W trakcie realizacji / Zwolnione;spółdzielcze wł. prawo do lokalu;do remontu;balkon;;miejskie;wtórny;prywatny;1985;blok;plastikowe;True
Jasne i przestronne, 4 p., 57 m2, Jagiellończyka;ul. Kazimierza Jagiellończyka, Nadodrze, Śródmieście, Wrocław, dolnośląskie;539000;2;54.07;4;5;400;W trakcie realizacji / Zwolnione;pełna własność;do remontu;;;elektryczne;wtórny;biuro nieruchomości ;1920;kamienica;plastikowe;False
Okolice ul. Orzeszkowej Rozkład/Piwnica/Inwestycja;Ołbin, Śródmieście, Wrocław, dolnośląskie;764999;3;72.50;4;4;1;;pełna własność;do zamieszkania;balkon;;gazowe;wtórny;biuro nieruchomości ;1930;kamienica;;False
ZIELONE TERENY ✅ Niska cena ✅ Ostatnie mieszkania!;Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie;703595;4;70.43;1;2;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;gazowe;pierwotny;biuro nieruchomości ;;blok;plastikowe;True
Gotowe do odbioru Mieszkanie wykończone pod klucz;ul. Zwycięska, Krzyki, Krzyki, Wrocław, dolnośląskie;;2;38.51;4;4;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2024;blok;;True
Funkcjnalne trzypokojowe mieszkanie z tarasem;ul. Przyjaźni, Krzyki, Krzyki, Wrocław, dolnośląskie;756350;3;54.24;parter;8;;;;;taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2026;blok;;True
Obok Sky Tower/4 pokoje/balkon/piwnica/zieleń;ul. Radosna, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;820000;4;64.00;2;4;850;;spółdzielcze wł. prawo do lokalu;;balkon;;miejskie;wtórny;biuro nieruchomości ;1980;blok;;False
Kawalerka ul. Jemiołowa, Rozkład/Piwnica/Balkon;ul. Jemiołowa, Gajowice, Fabryczna, Wrocław, dolnośląskie;525000;1;35.30;3;4;400;C;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;1960;blok;plastikowe;False
Stylowe mieszkanie w pięknej kamienicy;ul. Podwale, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;1399000;5;96.38;2;5;;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;prywatny;;kamienica;plastikowe;False
Ołbin/ Pod Inwestycje/4 pokoje/Ustawne/Jaracza;ul. Stefana Jaracza, Ołbin, Śródmieście, Wrocław, dolnośląskie;670000;4;63.50;2;4;1;;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;prywatny;1970;blok;plastikowe;False
Krzyki Borek ul. Saperów, 50m2, 3 pokoje;ul. Saperów, Borek, Krzyki, Wrocław, dolnośląskie;579000;3;50.70;2;4;430;C;pełna własność;do remontu;balkon;;miejskie;wtórny;biuro nieruchomości ;1967;blok;plastikowe;False
Spokojne osiedle/z dala od zgiełku miasta;Jagodno, Krzyki, Wrocław, dolnośląskie;1070829;5;83.01;parter;;;;;;;;;pierwotny;biuro nieruchomości ;2025;;;False
Nowe 2 pokoje + balkon | OKAZJA | Biuro Dewelopera;Muchobór Mały, Fabryczna, Wrocław, dolnośląskie;530424;2;39.67;1;;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;True
Przedmieście Oławskie/1 pokój/balkon/nad rzeką;Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;439000;1;24.00;2;2;200;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;2018;blok;;True
Możliwe 4 pokoje, pełen rozkład + osobna kuchnia;ul. Hubska, Huby, Krzyki, Wrocław, dolnośląskie;669999;3;77.50;5;5;400;A;pełna własność;do zamieszkania;;;gazowe;wtórny;biuro nieruchomości ;1960;plomba;plastikowe;False
Najmniejsza 3✨Idealne dla rodziny✨Przystanek;Brochów, Krzyki, Wrocław, dolnośląskie;511980;3;48.76;3;3;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;True
2pok. Tyrmanda, Muchobór, narożne, duży balkon!;Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie;539500;2;54.00;1;4;600;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;1991;blok;;False
Okolice ul. Łódzkiej Balkon/Piwnica/Inwestycja;Huby, Krzyki, Wrocław, dolnośląskie;760000;2;55.10;6;6;500;;;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;2000;apartamentowiec;;True
ROZKŁADOWE,3pok,opcja 4 pok,Miejskie Media,8600zl/;ul. Strzegomska, Muchobór Mały, Fabryczna, Wrocław, dolnośląskie;499900;3;58.00;1;4;;;pełna własność;;;;miejskie;wtórny;biuro nieruchomości ;1980;blok;;False
NOWY ETAP|Ostatnie takie Mieszkania|HIT|Sprawdź!!;ul. Woskowa, Brochów, Krzyki, Wrocław, dolnośląskie;357550;2;30.43;parter;;;;pełna własność;;ogródek, taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;True
✅OGRÓDEK✅| NajlepszaCENA | Sprawdź|Ostatnie | HIT!;ul. Ignacego Mościckiego, Bieńkowice, Krzyki, Wrocław, dolnośląskie;399000;2;43.43;parter;;;;pełna własność;;ogródek, taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;False
PROMOCJA | Piękny i duży Ogródek|OSTATNIE|Sprawdź!;ul. Ignacego Mościckiego, Bieńkowice, Krzyki, Wrocław, dolnośląskie;575732;4;68.95;parter;;;;pełna własność;;ogródek, taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;False
OSTATNIE|NajlepszaCena|promocja|NowaInwestycja|HIT;ul. Ignacego Mościckiego, Bieńkowice, Krzyki, Wrocław, dolnośląskie;480424;3;59.68;1;;;;pełna własność;;balkon, taras;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;False
Cesja mieszkania 2pok. - taniej niż u dewelopera !;Grabiszyn, Fabryczna, Wrocław, dolnośląskie;585000;2;45.00;2;6;;A+;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;prywatny;;blok;plastikowe;True
2 pokojowe, balkon, parking, Popowice;Popowice, Popowice Północne, Fabryczna, Wrocław, dolnośląskie;530000;2;41.50;3;8;547;;spółdzielcze wł. prawo do lokalu;;balkon;;miejskie;wtórny;biuro nieruchomości ;;blok;plastikowe;False
4-pokojowy apartament 91m2 + 3 balkony;ul. Bernardyńska, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie;;4;91.14;4;5;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;;;;;;;
do wprowadzenia / wysoki standard / msc.postojowe;Kajdasza, Jagodno, Krzyki, Wrocław, dolnośląskie;665000;2;43.37;3;3;500;A;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2023;blok;plastikowe;True
Ołbin/2 pokoje/piwnica/blisko centrum;Ołbin, Śródmieście, Wrocław, dolnośląskie;752000;11;63.00;3;5;490;;pełna własność;;;;gazowe;wtórny;biuro nieruchomości ;1900;kamienica;;False
mieszkanie 2-pokojowe z balkonem na Opolskiej;ul. Opolska, Księże, Krzyki, Wrocław, dolnośląskie;499999;2;40.24;parter;2;648;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2008;blok;plastikowe;False
Okazja, 3M, 59m2, piwnica, parking, bez prowizji!;Stare Miasto, Stare Miasto, Wrocław, dolnośląskie;779000;3;59.00;1;5;775;;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;;;;False
Idealna inwestycja|Blisko Uniwersytet Ekonomiczny;ul. Otmuchowska, Tarnogaj, Krzyki, Wrocław, dolnośląskie;719000;3;64.30;parter;4;923;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;1988;blok;plastikowe;False
Wyjątkowe, kameralne, 7 mieszkań w budynku;ul. Gorlicka, Psie Pole, Psie Pole, Wrocław, dolnośląskie;960000;3;67.62;1;2;489;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;2017;blok;plastikowe;True
mieszkanie mała kawalerka;ul. Ludwika Rydygiera, Nadodrze, Śródmieście, Wrocław, dolnośląskie;170000;1;11.00;parter;;;;;;;;;wtórny;prywatny;;kamienica;;False
Dwa osobne pokoje, pełen rozkład, dobry standard;ul. Ignacego Chrzanowskiego, Karłowice, Psie Pole, Wrocław, dolnośląskie;690000;2;51.94;2;3;;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;;;;False
Apartament W Zabudowie Szeregowej |Wysoka|;ul. Łagodna, Wysoka, Kobierzyce, wrocławski, dolnośląskie;1270000;4;88.00;1;1;400;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;2017;;;False
2-pokoje / 45,19 m2 / blisko Sky Tower;ul. Gajowicka, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;540000;2;45.19;4;4;850;;pełna własność;do zamieszkania;;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;;blok;;False
Na sprzedaż 3-pokojowe mieszkanie 59m2;ul. Juliana Ursyna Niemcewicza, Nadodrze, Śródmieście, Wrocław, dolnośląskie;899000;3;58.58;4;6;;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2016;apartamentowiec;;True
Na Sprzedaż Mieszkanie Z Najemcą (Studio Tatuażu);ul. Walońska, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;1300000;2;60.62;parter;8;900;;pełna własność;do zamieszkania;ogródek;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2018;;;True
Mieszkanie dwupokojowe na sprzedaż;ul. Kamienna, Huby, Krzyki, Wrocław, dolnośląskie;900000;2;42.00;3;10;;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2021;apartamentowiec;;True
Na sprzedaż 2- pokojowe mieszkanie ul. Główna;ul. Główna, Muchobór Mały, Fabryczna, Wrocław, dolnośląskie;850000;2;57.70;5;5;650;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;;wtórny;biuro nieruchomości ;2009;blok;;True
widok na park, zamykane os. blisko wały nad Odrą;ul. Antoniego Wiwulskiego, Dąbie, Śródmieście, Wrocław, dolnośląskie;698000;2;42.00;1;2;750;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2008;blok;;True
Możliwe 4 pokoje, dwupoziomowe, 2 garaże, komórka;al. Śliwowa, Maślice, Fabryczna, Wrocław, dolnośląskie;875000;4;91.00;2;2;900;A+;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2016;apartamentowiec;plastikowe;False
Możliwe 3/4 pokoje, 2 balkony, 2 garaże, komórka;al. Śliwowa, Maślice, Fabryczna, Wrocław, dolnośląskie;875000;3;91.00;2;2;900;A+;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2016;apartamentowiec;plastikowe;False
Mieszkanie Jagodno, Vivaldiego 59m 3 pokoje balkon;ul. Antonia Vivaldiego, Jagodno, Krzyki, Wrocław, dolnośląskie;719000;3;59.00;2;4;650;;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;prywatny;2006;blok;;False
Lipa Piotrowska / Dwa pokoje z balkonem/ Winda;ul. Lawendowa, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie;495850;2;42.20;parter;2;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2024;;plastikowe;True
Lipa Piotrowska/3 pokoje /Balkon/Tereny zielone;ul. Lawendowa, Widawa, Psie Pole, Wrocław, dolnośląskie;612929;3;60.15;1;2;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2024;;plastikowe;True
Lipa Piotrowska/Dwa pokoje z balkonem;ul. Lawendowa, Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie;510198;2;42.20;parter;2;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2024;;plastikowe;True
Rabat - oddane do użytku- dobra lokalizacja;Szczepin, Stare Miasto, Wrocław, dolnośląskie;1121000;4;87.60;2;7;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2023;blok;plastikowe;True
Mieszkanie czteropokojowe - Krzyki;Partynice, Krzyki, Wrocław, dolnośląskie;751800;4;68.40;1;4;;;;do wykończenia;balkon;;;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;True
Ustawne 4 pokoje w urokliwej Lipie Piotrowskiej;Lipa Piotrowska, Psie Pole, Wrocław, dolnośląskie;782676;4;72.47;parter;3;;;;;ogródek;garaż/miejsce parkingowe;;pierwotny;biuro nieruchomości ;2023;apartamentowiec;plastikowe;True
Mieszkanie 3-pokojowe z ogródkiem oraz garażem;ul. Skarbowców, Krzyki, Krzyki, Wrocław, dolnośląskie;935000;3;66.80;parter;4;970;;pełna własność;do zamieszkania;ogródek, taras;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2011;blok;plastikowe;True
Pod wynajem! ⭐Gotowe⭐Parkiet w cenie⭐Przy tramwaju;Gaj, Krzyki, Wrocław, dolnośląskie;502000;2;32.60;2;;;;pełna własność;do wykończenia;;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;;apartamentowiec;plastikowe;True
Ok,Plac Jana Pawla 2 /- 3 pok  -rozklad!;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;779997;3;57.00;4;4;;;pełna własność;;balkon;;;wtórny;biuro nieruchomości ;1980;;;False
Mieszkanie 3-pokojowe deweloperskie!! 2023;Stanisława Drabika, Jagodno, Krzyki, Wrocław, dolnośląskie;824451;3;68.71;3;5;550;;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2023;apartamentowiec;;True
ul. Magellana Olimpia Port 3 Pokoje 51m2 Taras;ul. Ferdynanda Magellana, Swojczyce, Psie Pole, Wrocław, dolnośląskie;849000;3;51.00;parter;4;600;;pełna własność;;taras;;miejskie;wtórny;biuro nieruchomości ;2016;apartamentowiec;plastikowe;True
Krzyki/Poranna/1pok./balkon/piwnica/top;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;449998;1;33.10;5;1;300;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2000;blok;aluminiowe;False
Kopycińskiego/Jagodno/ okazja / premium/ balkon.;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;634998;2;36.80;1;4;449;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;;;plastikowe;False
Mieszkanie z ogródkiem/Wojszyce/Asfaltowa;ul. Asfaltowa, Wojszyce, Krzyki, Wrocław, dolnośląskie;789000;2;55.05;parter;3;650;;pełna własność;do zamieszkania;ogródek;garaż/miejsce parkingowe;;wtórny;biuro nieruchomości ;2022;;plastikowe;False
Daktylowa/ 3pok / Stabłowice / balkon!/ okazja;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;779998;3;62.10;1;4;600;;;do zamieszkania;balkon;;gazowe;wtórny;biuro nieruchomości ;2013;blok;aluminiowe;True
Jagodno/4 pokoje/loggia/piwnica/spokojna okolica;Jagodno, Krzyki, Wrocław, dolnośląskie;999999;4;72.00;4;4;900;;pełna własność;;;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2020;blok;;True
Okol. Wiśniowej 3 pok 62 m2 II p balkon 680.000;Borek, Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;680000;3;62.00;2;4;680;A;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;1965;blok;plastikowe;False
Zielona Pergola | Obornicka | 3 pokoje | dwupoziom;ul. Obornicka, Różanka, Psie Pole, Wrocław, dolnośląskie;815000;3;59.00;3;3;580;;;;balkon;garaż/miejsce parkingowe;;wtórny;biuro nieruchomości ;2008;;;True
4 pokoje Biskupin, ul. Gersona;Biskupin, Bartoszowice, Śródmieście, Wrocław, dolnośląskie;963000;4;64.20;4;4;1;W trakcie realizacji / Zwolnione;spółdzielcze wł. prawo do lokalu;do zamieszkania;balkon;;miejskie;wtórny;prywatny;;blok;plastikowe;False
Mieszkanie, 24 m², Wrocław;ul. Krucza, Gajowice, Fabryczna, Wrocław, dolnośląskie;419000;1;24.00;parter;4;230;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;miejskie;wtórny;prywatny;1970;blok;plastikowe;False
Ogrody Hallera 2 pok. + garaż + komórka + ROD;Ogrody Hallera, Grabiszyn, Fabryczna, Wrocław, dolnośląskie;899000;2;53.50;3;4;600;;pełna własność;do zamieszkania;balkon;garaż/miejsce parkingowe;;wtórny;prywatny;2012;apartamentowiec;drewniane;True
Dwupoziomowe mieszkanie z tarasem i garażem.;ul. Graniczna, Muchobór Wielki, Fabryczna, Wrocław, dolnośląskie;1600000;3;78.00;4;4;1;;pełna własność;do zamieszkania;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;prywatny;2017;blok;plastikowe;True
Inwestycyjnie!2 Kawalerki!Po Remoncie! 275tys/1szt;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;550000;2;39.00;parter;;;;;;;;;wtórny;biuro nieruchomości ;;;plastikowe;False
Atrakcyjna Kawalerka Z Balkonem!;Szczepin, Stare Miasto, Wrocław, dolnośląskie;469000;1;25.40;;;;;;do zamieszkania;;;;wtórny;biuro nieruchomości ;2017;blok;plastikowe;True
Dwupokojowe mieszkanie na parterze. (ul.Traugutta);Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;525000;2;44.80;parter;;;;;;;;;wtórny;biuro nieruchomości ;;;;False
Atrakcyjne 3 pokojowe/ Wysoki standard/ 2 Balkony;Szczepin, Stare Miasto, Wrocław, dolnośląskie;1513000;3;89.00;6;;;;;;;;;wtórny;biuro nieruchomości ;;;;False
2 Pokojowe/Oddzielna Kuchnia/ Przestrzenne/Rozkład;Tarnogaj, Krzyki, Wrocław, dolnośląskie;619000;2;65.71;3;3;;;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;1927;;plastikowe;False
Ogrody Hallera! 4 Pokoje + Duży Balkon / 2015 R.;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;1500000;4;84.10;1;3;923;;;;balkon;;miejskie;wtórny;biuro nieruchomości ;2015;apartamentowiec;;True
Wysoki standard/ Nowe bud./ Balkon;Tarnogaj, Krzyki, Wrocław, dolnośląskie;660000;1;35.00;1;;;;;do zamieszkania;balkon;;;wtórny;biuro nieruchomości ;2016;apartamentowiec;;True
3 Pok./ 1 Piętro/ 2 Balkony/ Bud.2020 r.;Pilczyce, Fabryczna, Wrocław, dolnośląskie;755000;3;68.69;1;;;;;;balkon;;inne;wtórny;biuro nieruchomości ;2020;blok;plastikowe;False
Bez Pcc z ogródkiem Parking+komórka Wojnów;Wojnów, Psie Pole, Wrocław, dolnośląskie;760000;3;69.20;parter;2;750;;;do wykończenia;ogródek;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;2020;blok;plastikowe;False
Złotniki lux 39/ Garaż w cenie /2018r! Top;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;569992;2;39.59;1;2;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2018;blok;;False
Mieszkanie 2-pok| Rozkład | Komórka | Grabiszyńska;ul. Grabiszyńska, Gajowice, Fabryczna, Wrocław, dolnośląskie;650000;2;47.64;parter;4;840;;;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;1987;blok;;False
Wyjątkowe dwupoziomowe mieszkanie na Maślicach!!!;ul. Potokowa, Maślice, Fabryczna, Wrocław, dolnośląskie;819999;3;56.00;2;2;700;;pełna własność;do zamieszkania;taras;garaż/miejsce parkingowe;inne;wtórny;prywatny;2010;apartamentowiec;drewniane;False
3-pokojowe, umeblowane mieszkanie- ul. Zaporoska;Powstańców Śląskich, Krzyki, Wrocław, dolnośląskie;599000;3;47.49;1;11;547;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;1970;blok;plastikowe;True
Jagodno/2 pokoje/balkon/nowoczesne budownictwo;Jagodno, Krzyki, Wrocław, dolnośląskie;700000;2;47.00;3;3;610;;pełna własność;;balkon;garaż/miejsce parkingowe;gazowe;wtórny;biuro nieruchomości ;2013;blok;;False
3-pokojowe do zamieszkania-okolice Hallera;Tarnogaj, Krzyki, Wrocław, dolnośląskie;545000;3;57.27;3;3;470;W trakcie realizacji / Zwolnione;pełna własność;do zamieszkania;;;inne;wtórny;biuro nieruchomości ;1920;kamienica;drewniane;False
Stare Miasto/2 pokoje/w centrum;Szczepin, Stare Miasto, Wrocław, dolnośląskie;620000;2;54.00;2;6;;;pełna własność;;;;miejskie;wtórny;biuro nieruchomości ;2010;blok;;True
Jasne, przestronne mieszkanie w spokojnej okolicy;ul. Kiemliczów, Żerniki, Fabryczna, Wrocław, dolnośląskie;749000;3;74.20;;;850;;spółdzielcze wł. prawo do lokalu;;;;;wtórny;biuro nieruchomości ;1998;blok;;False
OKAZJA,ROZKŁADOWE,3POK 55M2,Balkon,Miejskie Media;ul. Niedźwiedzia, Popowice Północne, Fabryczna, Wrocław, dolnośląskie;565000;3;55.00;7;10;;;;;balkon;;miejskie;wtórny;biuro nieruchomości ;1980;blok;;True
Najmniejsze 2-pokoje z kluczami w TYM roku⭐ Okazja;Maślice, Fabryczna, Wrocław, dolnośląskie;474719;2;34.03;;;;;pełna własność;do wykończenia;balkon;garaż/miejsce parkingowe;gazowe;pierwotny;biuro nieruchomości ;2024;blok;plastikowe;True
Przestronne 3m Komórka Nowe Osiedle 2 Parki;Skarbowców ok Wietrzna Krzyki, Krzyki, Krzyki, Wrocław, dolnośląskie;689000;3;54.20;parter;4;380;;pełna własność;do zamieszkania;;;miejskie;wtórny;biuro nieruchomości ;2003;blok;;False
Inwestycja 3pok Do Wydania Zaraz Balkon Komórka;Żelazna ok Zaporoska Skwierzyńska, Gajowice, Fabryczna, Wrocław, dolnośląskie;649000;3;45.00;parter;4;520;;pełna własność;do zamieszkania;balkon;;miejskie;wtórny;biuro nieruchomości ;1978;blok;;False
Gotowe do zamieszkania ★ Obok Ch Wrocłavia ★;gen. Antoniego Madalińskiego, Przedmieście Oławskie, Krzyki, Wrocław, dolnośląskie;799000;2;41.50;2;5;560;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2024;apartamentowiec;plastikowe;False
Mieszkanie Inwestycyjne 6 pokoi Centrum;ul. Jedności Narodowej, Ołbin, Śródmieście, Wrocław, dolnośląskie;1149000;6;107.55;2;5;;;pełna własność;;balkon;;;wtórny;biuro nieruchomości ;1910;;;False
Wyjątkowy, 65-metrowy taras | Księcia Witolda;ul. Księcia Witolda, Nadodrze, Śródmieście, Wrocław, dolnośląskie;2500000;3;68.00;5;6;850;;pełna własność;;balkon, taras;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2018;apartamentowiec;plastikowe;True
Promocja | M3 z balkonem | Zieleń;ul. Jordanowska, Oporów, Fabryczna, Wrocław, dolnośląskie;642000;3;53.20;1;3;600;;pełna własność;do wykończenia;balkon;;miejskie;pierwotny;biuro nieruchomości ;2025;blok;plastikowe;True
Małe 2-Pokojowe 34 M2 / Cesja / Harmonogram 30/70;ul. Grodzieńska, Zawidawie, Psie Pole, Wrocław, dolnośląskie;458964;2;34.77;1;2;;;;;balkon;;;pierwotny;biuro nieruchomości ;2024;;;True
Stare Miasto/ Duży balkon/ Brak prowizji!;Szczepin, Stare Miasto, Wrocław, dolnośląskie;822000;3;57.00;parter;4;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2023;;plastikowe;True
Lux | 3 pok | al.Śliwowa | garaż !..;Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie;948995;3;69.37;1;3;850;;;do zamieszkania;balkon;garaż/miejsce parkingowe;miejskie;wtórny;biuro nieruchomości ;2018;blok;;False
Mieszkanie na Kępie z widokiem na Park Mieszczańsk;wyspa Kępa Mieszczańska, Nadodrze, Śródmieście, Wrocław, dolnośląskie;557500;1;39.80;parter;6;400;;pełna własność;do wykończenia;taras;;miejskie;pierwotny;biuro nieruchomości ;2022;apartamentowiec;plastikowe;True
Stare Miasto/ Dwa balkony/ Brak prowizji!;Szczepin, Stare Miasto, Wrocław, dolnośląskie;990000;4;74.50;1;9;;;pełna własność;;balkon;garaż/miejsce parkingowe;miejskie;pierwotny;biuro nieruchomości ;2023;;plastikowe;True
Stabłowice/2 pokoje/balkon/piwnica;Leśnica, Fabryczna, Wrocław, dolnośląskie;515000;2;38.00;3;3;;;pełna własność;;balkon;;miejskie;wtórny;biuro nieruchomości ;2018;blok;;True
Airbnb | Winda | Rynek | Inwestycyjnie;ul. Szewska, Stare Miasto, Stare Miasto, Wrocław, dolnośląskie;535000;1;36.00;4;4;700;;pełna własność;;;;miejskie;wtórny;biuro nieruchomości ;1792;kamienica;plastikowe;True
Top lokalizacja|Świetna inwestycja|3 pokoje|;ul. Popowicka, Popowice Północne, Fabryczna, Wrocław, dolnośląskie;585000;3;54.10;6;10;600;;;do remontu;balkon;;miejskie;wtórny;biuro nieruchomości ;1974;blok;drewniane;True
2 pokoje | 1 km od C.H. Marino i pętli tramwajowej;ul. Pakosławska, Poświętne, Psie Pole, Wrocław, dolnośląskie;529000;2;28.43;2;2;496;;pełna własność;;balkon;;inne;wtórny;biuro nieruchomości ;2017;blok;plastikowe;False
